ProjectID,ProjectType,Jurisdiction,ProjectDescription,Mobility & Congestion,Reliability,Connectivity,Multimodalism,Asset Management,Saftey,Air & Climate,Cultural & Environmental Resources,Social Equity,Land Use Compatibility,Goods Movement,Employment Accessibility,Final Score,Performance Tier,Cost
GRTA-004,Transit Asset,GRTA,Xpress Integrated Tech Project,90,,,,0,100,,0,0,,,100,52,2,$8.00 
GRTA-006,Transit Asset,GRTA,Xpress Rockdale P&R Expansion,33,,,,13,100,,30,100,,,100,60,3,$8.25 
GW-PNR,Transit Asset,GW,Indian Trail P&R Lot Improvements,33,,,,86,0,,25,100,,,100,63,3,$2.00 
M-AR-274B2,Transit Asset,MARTA,MARTA Clean Bus Procurement,17,,,,69,0,100,0,100,,,100,58,1,$5.50 
MARTA-02,Transit Asset,MARTA,Edgewood Station TOD Improvements,59,,,,50,0,,60,100,,,100,63,2,$4.70 
CO-702,Transit Expansion,CO,Weekend Transit Service,100,16,100,0,,0,100,0,100,25,,50,53,3,$6.80 
DO-01,Transit Expansion,DO,Fixed Route Service,14,13,67,50,,0,16,46,100,25,,62,40,4,$8.00 
GRTA-002,Transit Expansion,GRTA,Xpress NW Service Expansion,9,52,67,0,,100,6,42,100,25,,67,47,3,$5.88 
GRTA-005,Transit Expansion,GRTA,Xpress Sugarloaf P&R Expansion,1,50,67,50,,100,0,65,0,0,,100,43,3,$8.25 
GW-BUS1,Transit Expansion,GW,Gwinnett Transit Services Enh. - PH1,64,13,100,25,,0,58,62,100,50,,88,58,1,$5.04 
GW-BUS2,Transit Expansion,GW,Gwinnett Transit Services Enh. - PH2,64,13,100,25,,0,58,47,100,50,,88,57,1,$3.21 
GW-BUS3,Transit Expansion,GW,Gwinnett Transit Route 55,26,25,33,25,,0,29,47,100,50,,83,42,4,$4.59 
MARTA-04,Transit Expansion,MARTA,Clifton Corridor,100,71,67,0,,100,100,48,100,25,,73,69,3,$45.00 
MARTA-05-1,Transit Expansion,MARTA,MORE MARTA - Route 71,18,30,33,0,,0,7,48,100,0,,73,31,2,$4.81 
MARTA-05-10,Transit Expansion,MARTA,MORE MARTA - Route 60,0,25,33,0,,0,0,49,100,0,,68,27,4,$2.48 
MARTA-05-11,Transit Expansion,MARTA,MORE MARTA - Route 2,1,13,67,0,,0,0,48,100,75,,72,38,4,$1.38 
MARTA-05-12,Transit Expansion,MARTA,MORE MARTA - Route 102,11,13,67,0,,0,10,49,100,75,,81,41,2,$1.21 
MARTA-05-2,Transit Expansion,MARTA,MORE MARTA - Route 78,17,30,33,0,,0,12,49,100,25,,77,34,2,$2.50 
MARTA-05-3,Transit Expansion,MARTA,MORE MARTA - Route 83,13,33,33,0,,0,8,49,100,25,,63,32,2,$3.31 
MARTA-05-4,Transit Expansion,MARTA,MORE MARTA - Route 95,100,30,67,0,,0,100,47,100,0,,88,54,1,$4.66 
MARTA-05-5,Transit Expansion,MARTA,MORE MARTA - Route 110,100,30,100,0,,0,100,49,100,25,,89,62,1,$1.49 
MARTA-05-6,Transit Expansion,MARTA,MORE MARTA - Route 12,65,25,33,0,,0,0,49,100,25,,81,40,2,$2.57 
MARTA-05-7,Transit Expansion,MARTA,MORE MARTA - Route 49,1,25,67,0,,0,0,49,100,25,,76,35,4,$2.82 
MARTA-05-8,Transit Expansion,MARTA,MORE MARTA - Route 51,51,25,67,0,,0,51,49,100,25,,73,45,1,$2.67 
MARTA-05-9,Transit Expansion,MARTA,MORE MARTA - Route 55,43,25,67,0,,0,36,48,100,25,,70,42,3,$4.26 
AR-450A,Trail,ATL,ATL Beltline - NE Quad,100,,80,50,,100,100,67,100,25,,100,80,3,$101.00 
AR-450C,Trail,ATL,ATL Beltline - SE Quad,100,,100,50,,100,100,65,100,25,,100,83,3,$98.82 
ATL-299,Trail,ATL,Lee Street Trail,100,,100,50,,75,100,48,100,25,,100,78,1,$8.15 
BCID-02,Trail,ATL,Lenox Rd Trail,52,,20,0,,0,46,55,0,0,,100,27,2,$4.55 
BCID-04,Trail,ATL,Peachtree Rd Trail - Buckhead,83,,20,0,,50,86,50,0,25,,100,44,3,$13.95 
LBI-01,Trail,ATL,PATH400 - Wieuca to Loridans,34,,80,50,,75,32,61,0,0,,0,40,4,$5.60 
LBI-2,Trail,ATL,PATH400 - Sandy Springs Ext.,49,,100,50,,75,67,49,0,25,,100,59,1,$3.70 
WOO-1,Trail,CH,Noonday Creek Trail Extension,64,,100,0,,0,52,31,0,100,,100,51,1,$3.65 
1-Mar,Trail,CO,North Marietta Pkwy,50,,20,50,,50,44,37,100,0,,0,38,4,$6.65 
2-Mar,Trail,CO,Burnt Hickory Trail,36,,60,50,,50,39,32,0,25,,0,35,2,$2.32 
CCID03,Trail,CO,Akers Mill Trail,24,,20,0,,75,19,47,0,0,,0,22,4,$2.48 
CO-2,Trail,CO,Mableton Parkway Trail - PH1,75,,60,50,,0,61,37,100,0,,100,52,1,$6.77 
CO-3,Trail,CO,Mableton Parkway Trail - PH2,65,,60,50,,25,52,45,100,0,,100,54,1,$4.70 
CO-462,Trail,CO,Rottenwood Creek Trail - PH1,16,,80,50,,50,14,25,100,25,,100,53,3,$10.92 
CO-703,Trail,CO,West Atlanta Street Trail,25,,100,0,,0,23,40,100,0,,0,32,2,$2.20 
CW-077,Trail,CW,Senoia Ivy Ridge Trail,20,,60,0,,0,16,48,0,0,,0,16,2,$1.30 
Brookhaven-02,Trail,DK,Peachtree Creek Greenway - PH2,49,,100,50,,50,36,79,100,0,,0,52,1,$3.40 
Brookhaven-05,Trail,DK,North Druid Hills Path,71,,20,50,,0,69,48,100,0,,0,36,2,$4.76 
Brookhaven-06,Trail,DK,Dresden Dr - Trail,34,,20,50,,75,34,47,0,25,,0,33,4,$5.00 
Brookhaven-09,Trail,DK,Peachtree Creek Greenway - PH1,57,,100,50,,50,43,69,100,0,,0,53,3,$6.60 
DK417,Trail,DK,Georgetown Multimodal,60,,20,50,,75,90,50,0,0,,100,48,3,$6.50 
DK418-A,Trail,DK,Perimeter Trails - Ashford Dunw.,100,,80,0,,50,96,50,0,0,,100,52,1,$2.82 
DK418-B,Trail,DK,Perimeter Trails - Ptree Dunwoody,49,,80,0,,50,49,49,0,0,,100,42,3,$4.72 
FA-353,Trail,FA,Fayetteville Multi-Use Path,62,,40,0,,0,49,32,0,25,,100,33,2,$3.09 
UNI-01,Trail,FS,Amenity Connector Trail,2,,40,0,,75,2,62,0,0,,100,32,4,$0.55 
GW-384,Trail,GW,Western Gwinnett Bikeway Ext,90,,0,0,,0,88,36,0,25,,100,34,4,$8.77 
GW-385,Trail,GW,Norcross to Lilburn Trail,75,,60,0,,0,64,43,100,0,,100,46,1,$5.55 
GW-402,Trail,GW,Rogers Bridge,40,,60,0,,0,30,50,0,25,,0,22,4,$4.60 
GW-TRL1,Trail,GW,McDaniel Farm Park Connector,18,,20,0,,50,14,74,0,0,,100,29,4,$3.70 
NORC-17-02,Trail,GW,Norcross LCI Greenway,47,,20,0,,0,73,50,100,25,,100,40,3,$5.45 
Peachtree Corners-01,Trail,GW,Crooked Creek Multi-Use Trail,98,,80,0,,50,100,17,100,0,,100,60,1,$4.30 
DAL-01,Trail,PA,Dallas Battlefield Trail,32,,20,0,,0,26,44,0,0,,0,12,2,$0.63 
PA-100,Trail,PA,Dallas Battlefield Trail - PH2,39,,20,0,,0,36,25,0,0,,0,12,4,$4.23 
LOG-01,Trail,WA,SR81 Shared Use Path,31,,20,0,,0,30,51,0,0,,0,13,2,$2.00 
